pairID,image_link,sentence2,label
4287633714.jpg#2r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4287633714.jpg,Two bikers walk together,neutral
3996889070.jpg#0r5n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3996889070.jpg,a girl plays with her pet,neutral
2058124718.jpg#1r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2058124718.jpg,Two dogs are playing together with their duck toy.,neutral
2589156742.jpg#2r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2589156742.jpg,A baseball player watches the game from the dugout.,contradiction
530170010.jpg#3r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/530170010.jpg,The man is happy that it is a nice day outside.,neutral
2834103050.jpg#1r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2834103050.jpg,The seller stares as the fashion model passes on the shore.,contradiction
2468906010.jpg#1r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2468906010.jpg,A woman hits the ground while trying to return a spike during a game of volleyball.,neutral
3354474353.jpg#0r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3354474353.jpg,Two dogs have just caught a fish.,entailment
1424775129.jpg#3r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/1424775129.jpg,A little boy is by a train,contradiction
2910885196.jpg#0r2n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2910885196.jpg,A family is celebrating a birthday,neutral
4885036157.jpg#2r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4885036157.jpg,A couple is embracing near a blue graffited pillar.,entailment
5901845159.jpg#3r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/5901845159.jpg,A boy giving money to a painted man.,contradiction
2584487952.jpg#4r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2584487952.jpg,The dog chases a cat in the grass.,contradiction
128395402.jpg#0r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/128395402.jpg,The woman is not enjoying her bike ride.,neutral
2860432302.jpg#3r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2860432302.jpg,A man just caught some trout.,neutral
2256447557.jpg#1r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2256447557.jpg,A crowd on a sunny day.,contradiction
3456579559.jpg#0r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3456579559.jpg,The skateboarder is in a competition.,neutral
4857558207.jpg#0r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4857558207.jpg,A new mother embracing her baby boy for the first time.,entailment
470887785.jpg#0r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/470887785.jpg,The woman is Armenian.,neutral
62057380.jpg#3r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/62057380.jpg,Two sad women run down the sidewalk at night.,neutral
3761067976.jpg#2r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3761067976.jpg,A girl is pointing at a balloon in the air.,neutral
129662899.jpg#0r4n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/129662899.jpg,A man is visiting the world's largest thread and spool and wants his picture taken.,contradiction
1012150929.jpg#1r4n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/1012150929.jpg,The boy is playing Mario in a restaurant.,contradiction
269361490.jpg#4r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/269361490.jpg,Two girls and two guys walking down the busy street.,contradiction
179778822.jpg#0r5n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/179778822.jpg,A girl's mother watches as she stares into a mirror.,entailment
3955157194.jpg#0r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3955157194.jpg,A girl in a white t-shirt plays on an excavator.,entailment
7003919692.jpg#4r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/7003919692.jpg,The  marketplace is hot,entailment
3063054647.jpg#4r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3063054647.jpg,Two people are walking along a trail.,entailment
1483574454.jpg#2r3n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/1483574454.jpg,The shop has many varities of bicycles.,neutral
2782480767.jpg#1r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2782480767.jpg,The girl is 6 years old,neutral
3701699584.jpg#3r4n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3701699584.jpg,the man has a tennis racket,entailment
618771382.jpg#1r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/618771382.jpg,Sisters hug in front of their country's flag.,neutral
3019776218.jpg#2r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3019776218.jpg,boy calls mom,neutral
489134459.jpg#2r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/489134459.jpg,Two siblings are outside.,neutral
3344040145.jpg#0r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3344040145.jpg,The man is yelling for his friend to come over.,neutral
4478063110.jpg#4r2n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4478063110.jpg,The man is playing with a friend.,neutral
617782839.jpg#4r5n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/617782839.jpg,The man is an accomplished archer.,neutral
1286805224.jpg#0r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/1286805224.jpg,The girl is smiling because her mom went to get her somethign to eat.,neutral
450688968.jpg#0r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/450688968.jpg,A star player is getting ready to shoot a soccer ball at an empty net.,neutral
5925544950.jpg#4r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/5925544950.jpg,The woman is happy.,neutral
95795877.jpg#1r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/95795877.jpg,Man just got done with a 15 hour shift.,neutral
4668948309.jpg#0r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4668948309.jpg,People at a party looking over a balcony.,neutral
2209751.jpg#4r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2209751.jpg,A crew is filming for a car show,neutral
2728607980.jpg#4r4n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2728607980.jpg,Hundreds of happy people are gathered,neutral
3189464563.jpg#0r2n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3189464563.jpg,A woman with big earrings is holding a prize ticket with a piece of chocolate cake in front of her because she has won first prize.,neutral
154653766.jpg#1r2n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/154653766.jpg,The teenagers are talking to one another.,neutral
19469520.jpg#0r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/19469520.jpg,The people are in a competition to win money.,neutral
1546632452.jpg#0r2n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/1546632452.jpg,A boy bouncing on a trampoline until it is time for dinner.,neutral
4631840705.jpg#2r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4631840705.jpg,A man climbs a rock wall during a timed event.,neutral
4016499639.jpg#4r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4016499639.jpg,People quickly get their orders at a street vendor stand.,neutral
4948865477.jpg#0r2n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4948865477.jpg,A man is fishing in order to get some meat for dinner,neutral
4948865477.jpg#0r4n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4948865477.jpg,A man falls asleep fishing with friends.,neutral
1505686764.jpg#2r4n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/1505686764.jpg,The man is about to go swimming in the stream.,neutral
4569102627.jpg#4r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4569102627.jpg,cups are good,neutral
230486268.jpg#3r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/230486268.jpg,The boy is having fun.,neutral
582788646.jpg#3r2n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/582788646.jpg,A boy is at the beach with his mother and father,neutral
141841337.jpg#0r3n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/141841337.jpg,A crowd watches a man put his foot on top of his head.,neutral
1625306051.jpg#0r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/1625306051.jpg,Two men jump for joy.,neutral
91875542.jpg#3r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/91875542.jpg,The elderly woman volunteers to use the antique cash register.,neutral
4803984649.jpg#2r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4803984649.jpg,A tall human standing,neutral
3376741717.jpg#3r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3376741717.jpg,A man in a blue janitor uniform is cleaning the floor.,neutral
4719086173.jpg#0r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4719086173.jpg,Firefighters check the area.,entailment
65845718.jpg#3r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/65845718.jpg,A woman is resting at poolside.,entailment
479545053.jpg#1r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/479545053.jpg,A male is reading while his wife is looking over his shoulder.,contradiction
536537638.jpg#3r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/536537638.jpg,a well dressed group wait together,neutral
1011572216.jpg#0r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/1011572216.jpg,A newlywed couple is walking down a pathway next to an old brick building.,entailment
1580159719.jpg#2r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/1580159719.jpg,Two street musicians are playing jazz for a crowd.,neutral
3259229498.jpg#2r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3259229498.jpg,Someone is performing for others.,entailment
7129695767.jpg#2r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/7129695767.jpg,A man is testing his limits while he climbs his first mountain.,neutral
3518822380.jpg#1r3e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3518822380.jpg,3 people stand in front of a blue wall.,entailment
170719224.jpg#4r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/170719224.jpg,People are outside.,entailment
2653617835.jpg#2r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2653617835.jpg,A fellow holds a door.,entailment
4811454472.jpg#3r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4811454472.jpg,Some 6 Peoples went inside the museum,contradiction
1021442086.jpg#0r2c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/1021442086.jpg,A man is driving while focusing intently on the road.,contradiction
1021442086.jpg#4r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/1021442086.jpg,THe man is looking at his shirt.,contradiction
6524893225.jpg#4r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/6524893225.jpg,The people are outdoors.,entailment
6303184938.jpg#0r4c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/6303184938.jpg,There is a person who is reading in a library.,contradiction
109770830.jpg#0r2c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/109770830.jpg,a woman napping,contradiction
1371076688.jpg#0r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/1371076688.jpg,A child is praying in bed.,contradiction
3687250043.jpg#0r2c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3687250043.jpg,Four kids are eating candy in the middle of a field.,contradiction
4887607422.jpg#4r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4887607422.jpg,The cat is white.,entailment
3688364166.jpg#1r2c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3688364166.jpg,A man is painting.,contradiction
2369452202.jpg#2r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2369452202.jpg,The people are outdoors.,entailment
4481546417.jpg#4r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4481546417.jpg,Group of people are outside,entailment
7757245162.jpg#4r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/7757245162.jpg,A person playing a game.,entailment
4410308811.jpg#1r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4410308811.jpg,Some people are in an office.,entailment
4410308811.jpg#2r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4410308811.jpg,a man listens to a speech,entailment
2687891662.jpg#1r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2687891662.jpg,Parents are taking their kids scuba diving.,contradiction
2687891662.jpg#0r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2687891662.jpg,Two blond woman with small children wait the turn for a roller coaster ride.,contradiction
10287332.jpg#0r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/10287332.jpg,Two men are on a roof.,entailment
3722433576.jpg#0r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3722433576.jpg,Two males are standing near a race car.,entailment
543291644.jpg#3r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/543291644.jpg,The woman is dancing in front of the band.,entailment
543291644.jpg#4r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/543291644.jpg,There is a guitar in the photo.,entailment
4894872733.jpg#4r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4894872733.jpg,The road is busy and full of people.,contradiction
6419839253.jpg#1r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/6419839253.jpg,Three young men are playing soccer in the beach wearing shorts,entailment
3207264553.jpg#1r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3207264553.jpg,Some people are going to school.,contradiction
242559369.jpg#1r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/242559369.jpg,Woman skinny-dipping in water.,entailment
3634200287.jpg#0r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3634200287.jpg,The man is playing an instrument.,entailment
2715746315.jpg#0r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2715746315.jpg,A man running through the jungle with a tray on his head.,contradiction
6002955320.jpg#0r4e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/6002955320.jpg,A young man is on the coast.,entailment
4981892541.jpg#2r2e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4981892541.jpg,A lady is with a little girl.,entailment
2978540629.jpg#4r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2978540629.jpg,Three women are on a balloon ride.,entailment
12974441.jpg#4r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/12974441.jpg,Person with wounds on their face.,entailment
2326133103.jpg#2r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2326133103.jpg,Children are sketching and a lady observes art.,entailment
1363343745.jpg#0r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/1363343745.jpg,The little boy is riding a jet ski with his mom while two men watch.,contradiction
4470667650.jpg#0r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4470667650.jpg,dog is chased by cat,contradiction
152500619.jpg#2r5e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/152500619.jpg,A dark skinned male is wearing little clothing in the street.,entailment
1405221276.jpg#3r2e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/1405221276.jpg,there are dogs on a beach,entailment
1003420127.jpg#1r4e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/1003420127.jpg,A group of people are playing musical instruments in a house.,contradiction
4549048831.jpg#3r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4549048831.jpg,People are crossing a finish line,contradiction
3853580806.jpg#3r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3853580806.jpg,A guy is working with wood.,entailment
721943065.jpg#3r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/721943065.jpg,Two small children s riding the read wagon at  Independence day,contradiction
2249783869.jpg#1r4e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2249783869.jpg,Some women are knitting.,entailment
59209034.jpg#4r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/59209034.jpg,The person is sleeping.,contradiction
4607507068.jpg#0r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4607507068.jpg,A woman sitting indoors.,neutral
372243070.jpg#0r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/372243070.jpg,A man is riding a unicycle.,contradiction
3367053761.jpg#4r2c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3367053761.jpg,The person is playing a guitar.,contradiction
2537683592.jpg#1r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2537683592.jpg,there is a curved wall and its open for tourists its perfect,neutral
7162690187.jpg#2r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/7162690187.jpg,Two people are digging outside.,entailment
2766765386.jpg#0r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2766765386.jpg,The surfer caught a wave.,entailment
2899550625.jpg#3r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2899550625.jpg,Four workers are sitting on the sidewalk.,contradiction
2185509485.jpg#1r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2185509485.jpg,A man is playing with his dog in the park.,contradiction
4954585779.jpg#1r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4954585779.jpg,The people are watching tv on a couch.,contradiction
7559183044.jpg#1r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/7559183044.jpg,The man is carrying heavy beams.,entailment
1440465.jpg#0r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/1440465.jpg,A group of women are sitting around a completely clean table.,contradiction
3502897880.jpg#2r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3502897880.jpg,Two people watch a boy do some stunts with a skateboard,entailment
7096517911.jpg#1r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/7096517911.jpg,"There are two people in this picture, and they are competing against each other.",entailment
4834130686.jpg#3r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4834130686.jpg,The woman is swimming with sharks.,contradiction
4725078805.jpg#0r3e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4725078805.jpg,A woman talks on the phone.,entailment
3389707399.jpg#4r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3389707399.jpg,Two men shining shoes.,entailment
1501297480.jpg#2r5c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/1501297480.jpg,There is a child in long pants moving a watering can.,contradiction
1501297480.jpg#3r3c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/1501297480.jpg,The boy has long pants on.,contradiction
49609558.jpg#4r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/49609558.jpg,The people have hats.,entailment
92732320.jpg#0r3c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/92732320.jpg,The people are hanging up their clothes in the closet,contradiction
396360611.jpg#0r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/396360611.jpg,A backpacker stands on a rocky bank.,entailment
3413244848.jpg#4r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3413244848.jpg,The tennis player has recently touched the ball.,neutral
303102907.jpg#4r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/303102907.jpg,Female students taking a test.,neutral
3516267455.jpg#4r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3516267455.jpg,A dog is laying in the sand.,contradiction
2437917174.jpg#1r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2437917174.jpg,A woman is dark-skinned,entailment
2166946777.jpg#2r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2166946777.jpg,A school class visits the aquarium.,contradiction
4938469951.jpg#0r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4938469951.jpg,Two women are jogging towards the elevator.,contradiction
4938469951.jpg#3r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4938469951.jpg,The people pass by the stairs.,entailment
99679241.jpg#3r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/99679241.jpg,The bird is small.,contradiction
7148403727.jpg#1r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/7148403727.jpg,A man washing the car.,contradiction
2917465129.jpg#4r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2917465129.jpg,People are getting on the boat.,entailment
4429773871.jpg#0r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4429773871.jpg,Two girls get there picture taken,contradiction
1733676900.jpg#1r5c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/1733676900.jpg,A woman looks for a tiara.,contradiction
7778073672.jpg#0r5c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/7778073672.jpg,Two women are sitting in a restaurant.,contradiction
7778073672.jpg#0r3e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/7778073672.jpg,Three women playing frisbee,contradiction
179829865.jpg#0r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/179829865.jpg,a waterskier in a blue life vest holds a line waiting to be pulled up from the water,entailment
278002800.jpg#3r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/278002800.jpg,The man in the jacket is having a meal.,entailment
4740349041.jpg#0r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4740349041.jpg,A woman is pulled over for a busted headlight.,contradiction
870710405.jpg#3r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/870710405.jpg,there is a girl daydream of wearign tinkerbell jacket,neutral
2891939693.jpg#4r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2891939693.jpg,The man has the phone.,entailment
2773744784.jpg#4r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2773744784.jpg,singing man,neutral
303103123.jpg#4r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/303103123.jpg,the students are at lunch,contradiction
2173828253.jpg#0r2c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2173828253.jpg,A figure poses for the camera holding a gun inside.,contradiction
2695298213.jpg#2r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2695298213.jpg,Children walk in a group.,entailment
2695298213.jpg#0r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2695298213.jpg,The group is sitting in the rain.,contradiction
3963616424.jpg#2r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3963616424.jpg,A vehicle transporting sacks travels on a road.,entailment
3963616424.jpg#3r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3963616424.jpg,A blue car with bags of cargo on the roof is headed down a road.,entailment
346073628.jpg#4r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/346073628.jpg,Two girls sit on a white chair,entailment
